hasNavigationBar,getWifiServiceMessenger,setInTouchMode,sendto,addClient,openSession,getActivePhoneType,getSubscriberId,CREATE_FOLDER_____,sigprocmask,fsync,mkdir,getAnimationScale,fchmod,ACCESS_PERSONAL_INFO___,TERMINATE_THREAD,getLine1Number,CREATE_THREAD_____,FS_ACCESS(CREATE)____,access,setComponentEnabledSetting,exit,chmod,munmap,registerInputDevicesChangedListener,sigaltstack,clone,getActiveNetworkInfo,FS_ACCESS(CREATE__WRITE)__,ioctl,rename,FS_ACCESS()____,statfs64,__arm_nr_set_tls,getpriority,getIccSerialNumber,prctl,getDeviceId,mmap2,pread64,gettid,mprotect,lseek,getuid32,brk,getReceiverInfo,unlink,getDisplayInfo,read,setpgid,write,getpid,dup,getInputDeviceIds,writev,FS_ACCESS(WRITE)____,epoll_ctl,clock_gettime,startInput,set,FS_ACCESS(CREATE__READ)__,setsockopt,NETWORK_ACCESS(WRITE)____,FS_PIPE_ACCESS___,NETWORK_ACCESS(READ__WRITE)__,isAdminActive,windowGainedFocus,epoll_wait,socketpair,FS_ACCESS(CREATE__READ__WRITE),setpriority,madvise,shutdown,close,fcntl64,open,stat64,getApplicationInfo,FS_ACCESS____,getInstalledPackages,socket,fdatasync,getsockopt,recvfrom,getActivityInfo,addToDisplay,fchown32,getsockname,getdents64,getPackageInfo,flock,FS_PIPE_ACCESS(READ__WRITE)_,pipe,checkOperation,lstat64,epoll_create,getAllNetworkInfo,FS_ACCESS(READ)____,NETWORK_ACCESS____,getegid32,Class
1,1,1,363,1,1,0,1,8,212,6,10,1,1,3,7,1,18,13,79,0,7,11,101,1,25,18,10,13,440,1,1,1,18,70,0,105,1,167,97,42,210,8,140,87,0,1,8,257,0,374,137,21,1,68,7,9,1643,0,0,0,5,3,1,1,0,2,584,0,0,18,135,0,108,148,84,73,5,28,2,4,10,7,854,0,6,14,4,2,5,2,1,2,0,25,1,0,16,0,0,1
1,0,0,1,1,1,0,1,4,109,0,4,1,1,2,4,0,32,9,48,0,4,4,60,0,36,32,4,2,615,0,0,1,32,60,0,114,1,173,66,191,311,32,238,124,0,4,9,156,0,318,240,12,0,96,6,15,2033,0,0,0,1,1,3,3,0,2,393,9,2,33,139,0,82,225,86,59,2,38,0,3,35,3,322,1,2,18,0,2,4,2,5,8,0,10,7,0,19,8,10,1
1,0,0,14,1,1,0,1,5,253,18,7,1,0,5,20,0,35,6,75,0,20,21,144,0,57,35,7,20,316,9,9,0,37,75,0,125,4,259,50,67,259,8,100,112,0,9,9,85,0,167,92,12,0,45,7,7,755,0,0,0,26,11,6,6,0,2,88,0,0,38,245,4,228,50,101,77,12,37,1,17,0,18,88,0,3,0,20,6,5,2,2,11,0,25,2,0,24,0,0,1
1,0,0,3,1,1,1,2,3,107,0,3,1,0,6,4,1,17,3,11,0,4,2,40,0,21,17,0,2,207,0,0,0,17,55,0,101,2,114,18,32,238,8,67,72,0,0,12,54,0,101,58,9,0,23,6,4,615,0,0,0,3,3,1,1,0,2,45,0,0,14,108,0,65,10,59,27,2,21,0,10,0,10,34,0,2,0,4,8,2,2,1,2,0,7,1,0,25,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,3,0,0,0,2,0,8,8,0,2,31,0,0,0,8,16,0,90,0,32,1,21,36,8,19,9,0,0,4,16,0,30,9,0,0,4,6,1,17,0,0,0,0,1,2,0,0,0,3,0,0,5,29,0,18,5,22,11,0,3,0,1,0,3,0,0,0,0,0,2,1,2,0,2,0,3,1,0,8,0,0,1
1,0,0,1,1,0,0,0,0,32,0,0,0,0,0,0,0,8,1,3,0,0,0,17,0,8,8,0,2,41,0,0,0,8,20,0,92,0,47,14,22,42,8,23,24,0,0,6,16,0,34,10,0,0,8,6,1,53,0,0,0,0,1,2,0,0,0,3,0,0,5,40,0,18,5,22,15,0,3,0,1,0,3,0,0,0,0,0,2,1,2,0,2,0,3,1,0,8,0,0,1
1,0,0,1,1,1,0,0,5,527,10,6,1,7,2,14,0,27,25,115,0,14,18,260,0,42,27,0,13,1028,9,8,2,28,154,0,133,2,456,217,57,669,124,136,119,0,18,13,204,1,311,130,27,0,224,12,7,1854,0,3,1,5,1,1,5,0,3,149,0,0,24,463,0,226,415,234,157,0,78,0,6,75,3,194,2,3,40,0,2,3,6,1,2,0,32,1,0,69,0,0,1
1,1,1,364,1,1,0,1,7,145,8,9,1,0,3,9,1,23,7,53,0,9,12,98,1,32,23,9,14,432,3,3,0,23,81,0,114,1,185,49,51,199,8,115,47,0,3,9,244,0,381,114,21,1,112,7,8,1383,1,0,0,9,4,1,2,0,3,541,0,0,24,146,2,96,26,81,42,5,26,2,7,0,8,791,0,2,0,6,2,7,2,1,2,0,27,1,0,16,1,0,1
0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,8,2,3,0,0,1,2,0,8,8,0,2,29,0,0,0,8,15,0,90,0,32,1,21,35,8,19,12,0,0,4,16,0,28,9,0,0,13,6,1,15,0,0,0,0,1,2,0,0,0,3,0,0,5,29,0,18,5,23,11,0,3,0,1,0,3,0,0,0,0,0,2,1,2,0,2,0,3,1,0,8,0,0,1
1,0,0,9,1,1,2,2,10,200,2,14,1,2,10,8,0,24,4,96,0,8,5,107,0,33,24,2,20,612,3,1,3,25,70,2,120,2,315,37,45,537,128,203,86,0,1,9,335,1,277,182,12,0,59,9,6,1264,0,0,1,17,7,1,5,0,3,214,0,0,22,319,0,174,65,199,71,0,46,3,12,0,11,249,0,3,0,12,10,1,7,1,2,0,32,1,0,76,0,0,1
1,1,0,5,1,1,0,2,8,178,16,11,1,5,7,17,0,29,17,136,0,17,24,157,0,47,29,10,20,779,10,9,2,30,132,0,135,5,360,110,59,601,130,177,104,0,13,12,234,1,313,145,18,0,100,9,7,615,0,8,2,12,4,2,6,0,4,165,0,0,28,341,2,209,321,238,248,5,80,0,10,30,6,48,0,3,31,6,2,7,8,2,4,0,64,3,0,70,0,0,1
1,1,0,5,1,1,0,1,10,2045,13,12,1,0,3,18,0,56,11,116,0,18,18,330,0,74,56,11,21,2018,7,5,0,56,137,0,167,2,680,352,306,514,84,1811,1398,0,9,37,3001,0,1578,1848,50,0,1370,7,41,17182,0,0,0,21,5,2,11,0,8,3463,14,6,64,419,0,1102,236,1032,144,7,50,2,13,20,12,1686,1,8,0,10,50,6,2,8,10,0,48,9,0,927,11,12,1
1,0,0,1,1,1,0,1,7,126,1,7,1,0,1,3,0,37,6,27,0,3,4,62,0,40,37,1,4,235,1,1,0,37,50,0,120,0,219,24,258,299,32,366,188,0,3,10,1403,0,389,405,19,0,42,6,19,4888,0,0,0,1,1,2,4,0,0,896,12,2,39,183,0,607,89,607,41,3,40,1,3,5,3,53,1,4,0,0,34,4,2,7,9,0,16,8,0,544,10,12,1
1,1,0,3,1,1,0,1,10,48,0,15,1,0,4,3,0,41,6,47,0,3,2,83,0,44,41,3,5,189,2,0,0,41,48,0,133,3,249,11,286,339,89,865,252,0,4,11,2087,0,646,884,13,0,86,6,35,11680,0,0,0,15,3,4,9,0,1,2182,14,6,47,242,4,764,223,768,63,3,46,0,9,20,9,29,1,1,0,6,38,6,2,9,13,0,27,12,0,691,11,12,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,3,0,0,0,2,0,8,8,0,2,46,0,0,0,8,28,0,90,0,32,1,21,40,8,19,8,0,0,4,16,0,54,9,0,0,4,6,1,29,0,0,0,0,1,2,0,0,0,3,0,0,5,29,0,18,5,22,11,0,3,0,1,0,3,0,0,0,0,0,2,1,2,0,2,0,3,1,0,8,0,0,1
1,0,0,14,1,1,0,1,6,278,14,8,1,0,6,21,0,52,6,74,0,21,18,138,0,75,52,4,16,353,6,6,0,54,70,0,142,5,293,48,220,411,32,141,168,0,8,15,196,0,209,133,12,0,49,7,16,1278,0,0,0,43,10,8,20,0,3,182,9,2,59,277,8,249,128,115,65,11,37,1,37,5,26,81,3,2,0,22,10,6,2,6,17,0,28,8,0,37,8,10,1
1,0,0,10,1,1,0,1,4,191,8,4,1,0,2,8,0,19,4,41,0,8,10,57,0,27,19,3,10,161,2,2,0,19,42,0,105,1,127,22,41,199,8,58,62,0,2,8,57,0,96,52,7,0,18,7,4,389,0,2,0,22,10,1,4,0,0,47,0,0,22,131,8,61,31,55,52,1,15,1,14,0,14,57,0,2,0,18,2,2,2,1,2,0,13,1,0,15,0,0,1
1,1,0,9,1,1,0,0,4,266,6,6,1,0,8,37,0,65,5,80,0,37,9,187,0,104,65,23,8,742,1,1,2,67,123,0,147,6,341,47,237,363,32,285,129,0,3,11,201,0,405,273,16,0,91,7,17,2111,0,5,0,15,5,7,9,0,2,436,9,2,69,308,0,295,104,92,137,2,30,0,13,5,9,312,2,3,0,8,6,5,2,5,16,0,16,7,0,34,8,10,1
1,0,0,7,1,1,0,1,6,167,7,6,1,1,3,7,0,34,8,55,0,7,12,64,0,41,34,4,9,267,2,2,1,34,60,0,120,1,176,44,191,300,32,104,161,0,6,9,103,0,191,98,12,0,36,7,16,982,0,1,0,15,7,3,5,0,1,135,9,2,38,163,8,80,152,80,58,2,27,1,11,20,10,72,0,3,7,12,2,4,2,5,8,0,19,7,0,19,8,10,1
1,0,1,361,1,1,0,0,5,152,13,6,1,10,2,11,0,19,29,131,0,11,22,125,1,31,19,1,16,3770,12,11,2,20,116,0,119,2,311,116,41,467,136,1950,79,0,23,9,840,1,1476,1928,28,1,158,8,14,16144,0,3,3,5,1,1,5,0,8,3438,0,0,16,284,0,244,501,250,192,0,89,0,6,90,3,4894,0,8,48,0,2,1,10,1,2,0,55,1,0,70,0,0,1
1,0,0,5,1,1,0,2,9,1523,22,13,1,2,11,44,3,98,62,220,0,44,30,663,0,142,98,0,37,3969,22,40,1,98,507,3,276,3,916,350,578,592,86,12179,1237,0,48,19,8338,0,4768,12263,193,0,429,15,203,90834,0,0,0,91,4,2,34,0,20,19546,14,6,107,671,0,2352,958,2081,320,15,138,1,38,105,28,1805,8,23,46,21,78,20,2,9,11,0,107,10,0,1758,11,12,1
1,0,0,7,1,0,0,1,4,62,8,4,0,0,2,6,0,17,4,29,0,6,10,47,0,23,17,3,10,70,2,2,0,17,24,0,103,1,86,24,36,152,8,34,22,0,2,7,46,0,48,25,0,0,7,7,1,147,0,0,0,14,7,1,2,0,0,18,0,0,17,66,8,37,15,37,34,1,3,1,9,0,10,6,0,0,0,12,2,2,2,1,2,0,13,1,0,9,0,0,1
1,0,1,361,1,1,0,0,0,307,0,0,1,0,0,2,0,10,1,7,0,2,0,87,1,12,10,0,2,2957,0,0,0,10,27,0,94,0,148,65,25,155,8,1438,120,0,0,8,669,0,1190,1428,8,1,20,6,6,11017,0,0,0,0,1,1,0,0,1,2644,0,0,7,144,0,49,8,47,18,0,22,0,1,0,3,3282,0,2,0,0,2,1,2,1,2,0,3,1,0,14,0,0,1
1,0,0,8,1,1,0,1,4,195,5,4,1,0,2,8,0,19,4,30,0,8,7,87,0,27,19,3,7,181,0,0,0,19,38,0,105,1,157,52,40,222,8,100,79,0,0,8,55,0,88,91,6,0,17,7,3,614,0,0,0,18,8,1,4,0,1,84,0,0,20,118,8,58,23,53,40,1,16,1,12,0,12,58,1,1,0,14,2,2,2,1,2,0,10,1,0,15,0,0,1
1,1,0,1,1,1,0,0,7,299,17,9,1,5,5646,24,0,64,18,148,0,24,25,263,0,90,64,16979,23,98820,10,8,3,66,224,0,175,5645,679,109,291,1132,253,4246,344,0,16,5691,4212,2,2175,4278,68,0,585,11,45,89043,0,7,0,103,1,4,106,0,6,6131,12,2,71,966,0,1663,563,1554,235,2,143,2,110,50,8,2671,5,18,31,5,61,5660,6,6,10,0,51,9,0,1296,15,12,1
1,0,0,5,1,0,0,0,3,9,1,3,0,0,1,1,0,12,3,6,0,1,3,12,0,13,12,2,3,65,0,0,0,12,19,0,94,1,51,8,29,121,8,25,21,0,0,7,32,0,35,18,0,0,6,7,1,79,0,0,0,12,5,2,4,0,0,3,0,0,11,47,4,26,25,27,17,1,3,0,9,0,9,4,0,0,0,8,2,2,2,0,2,0,4,1,0,9,0,0,1
1,0,0,3,1,1,0,0,6,194,1,6,1,0,3,8,1,39,6,33,0,8,8,93,0,47,39,0,5,505,0,0,1,39,175,1,123,1,214,62,207,294,32,196,116,0,4,12,133,0,510,188,16,0,60,6,18,1283,0,0,0,13,2,2,3,0,4,248,9,2,40,194,0,85,127,77,67,8,27,0,7,15,12,59,3,4,4,2,4,3,2,5,7,0,11,7,0,26,8,10,1
1,0,0,4,1,1,0,2,14,163,3,17,1,0,3,8,0,20,3,44,0,8,5,84,0,28,20,13,10,167,1,1,2,20,41,0,103,1,153,41,38,223,8,54,51,0,1,12,68,0,91,43,3,0,55,7,4,302,0,1,0,11,4,1,5,0,0,31,0,0,18,120,4,71,31,67,68,1,25,1,13,0,12,22,0,1,0,10,21,2,2,1,2,0,6,1,0,20,4,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,13,0,0,1,2,0,8,8,0,2,29,0,0,1,8,15,0,90,0,32,14,21,46,8,19,21,0,0,4,17,0,28,9,0,0,4,6,1,15,0,0,0,0,0,2,0,0,0,3,0,0,5,29,0,26,51,31,24,0,9,0,1,5,3,0,0,0,6,0,2,1,2,0,2,0,3,1,0,9,1,0,1
1,1,0,2,1,1,2,1,12,142,15,16,1,4,12,19,0,34,15,115,0,19,22,214,0,55,34,21,27,547,8,8,3,36,67,0,180,7,529,68,78,942,217,181,108,0,12,36,264,2,342,160,8,0,240,11,9,1884,0,1,0,5,2,3,4,0,1,193,0,0,38,481,0,238,244,306,120,10,80,1,9,30,7,39,0,2,16,2,8,11,6,4,7,0,73,6,2,120,0,0,1
1,0,0,1,1,0,0,0,0,28,0,0,0,0,0,0,0,8,1,3,0,0,0,15,0,8,8,0,2,46,0,0,0,8,22,0,90,0,45,14,21,63,8,23,20,0,0,6,16,0,42,9,0,0,4,6,1,34,0,0,0,0,1,2,0,0,0,3,0,0,5,29,0,18,5,22,15,0,3,0,1,0,3,0,0,0,0,0,2,1,2,0,2,0,3,1,0,8,0,0,1
1,0,1,361,1,1,0,0,0,37,0,0,1,0,0,2,0,11,1,11,0,2,0,17,1,13,11,0,2,85,0,0,0,11,21,0,93,0,78,4,27,92,8,38,42,0,0,7,206,0,221,25,4,1,2,6,4,826,0,0,0,0,1,1,0,0,1,427,0,0,8,71,0,37,7,41,17,1,15,0,1,0,3,728,0,1,0,0,2,1,2,1,2,0,3,1,0,15,0,0,1
1,0,0,3,1,1,0,0,8,196,0,9,1,2,0,3,0,30,89,1097,0,3,5,402,0,33,30,0,4,1815,1,0,1,30,49,0,112,0,511,1161,197,506,32,179,169,0,6,10,446,0,262,190,14,0,69,7,16,2545,0,0,0,10,3,2,6,0,2,270,9,2,31,169,0,1043,4692,1038,1873,2,601,0,8,420,33,212,1,2,578,8,4,3,2,6,10,0,15,7,0,28,8,10,1
1,0,0,1,1,1,0,0,0,230,4,0,1,0,1,2,0,13,1,23,0,2,4,60,0,15,13,3,6,240,4,4,0,13,38,0,97,1,132,40,30,185,10,73,85,0,4,10,266,0,88,61,9,0,21,7,4,5453,0,0,0,4,1,1,1,0,1,55,0,0,10,90,0,60,10,59,22,0,24,0,5,0,6,51,0,1,0,0,2,4,2,2,3,0,7,2,4,19,0,0,1
1,1,0,10,1,1,0,1,7,200,10,9,1,0,9,16,0,28,6,63,0,16,14,113,0,44,28,10,15,371,5,5,0,28,52,0,114,7,184,54,53,325,8,122,60,0,5,10,130,0,163,102,9,0,40,7,6,875,0,0,0,22,10,1,7,0,1,130,0,0,32,150,0,96,37,79,74,11,17,2,26,0,21,127,0,4,0,18,8,8,2,1,2,0,25,1,0,30,0,0,1
1,0,0,1,1,1,0,0,2,91,0,2,1,0,1,2,0,11,2,7,0,2,1,33,0,13,11,1,2,106,0,0,0,11,29,0,94,1,94,13,28,90,8,42,45,0,0,7,26,0,64,28,3,0,4,6,4,70,0,0,0,0,1,1,0,0,0,23,0,0,8,78,0,43,6,47,20,0,21,0,1,0,3,8,0,1,0,0,2,1,2,1,2,0,3,1,0,14,0,0,1
1,0,0,3,1,1,1,2,3,113,0,3,1,0,6,7,1,17,3,11,0,7,2,49,0,24,17,0,2,199,0,0,0,17,56,0,101,2,114,18,32,206,8,67,73,0,0,12,52,0,98,58,9,0,23,6,4,477,0,0,0,3,3,1,1,0,2,42,0,0,14,124,0,65,10,59,27,2,21,0,10,0,10,34,0,2,0,4,8,2,2,1,2,0,7,1,0,25,0,0,1
1,0,0,1,1,1,0,0,0,97,0,0,1,0,0,4,0,14,1,14,0,4,0,544,0,18,14,0,2,1382,0,0,0,14,61,0,597,0,619,21,31,142,13,76,32,0,0,14,102,0,127,64,10,0,18,7,3,2985,0,0,0,0,1,1,0,0,0,54,0,0,11,605,0,50,6,48,24,0,19,0,1,0,3,32,0,1,0,0,2,1,2,1,2,0,3,1,0,17,0,0,1
1,1,0,1,1,1,0,0,2,88,0,2,1,0,0,0,0,9,2,5,0,0,1,30,0,9,9,0,2,100,0,0,0,9,29,0,93,0,90,21,26,98,8,47,50,0,0,7,25,0,56,33,4,0,14,6,4,136,0,0,0,0,1,2,0,0,1,25,0,0,7,75,0,35,9,40,19,0,14,0,1,0,3,12,0,1,0,0,2,1,2,1,3,0,3,2,0,14,0,0,1
1,1,1,366,1,1,0,1,7,163,10,9,1,0,8,11,1,22,7,65,0,11,14,86,1,33,22,9,16,338,5,5,0,22,66,0,108,5,154,37,49,253,8,104,64,0,5,9,250,0,329,96,13,1,70,7,6,1536,0,0,0,13,6,1,3,0,3,535,0,0,28,187,2,81,30,65,63,7,16,2,9,0,11,807,0,3,0,10,2,6,2,1,2,0,29,1,0,15,0,0,1
1,0,0,1,1,0,0,0,0,58,0,0,0,0,0,1,0,9,1,7,0,1,0,25,0,10,9,0,2,44,0,0,0,9,18,0,91,0,55,21,23,44,8,23,22,0,0,6,17,0,28,10,0,0,9,6,1,82,0,0,0,0,1,2,0,0,0,3,0,0,6,46,0,19,5,23,16,0,3,0,1,0,3,0,0,0,0,0,2,1,2,0,2,0,3,1,0,9,0,0,1
1,1,0,11,1,1,0,1,4,69,8,4,1,0,2,13,0,24,4,38,0,13,10,67,0,37,24,3,10,134,2,2,0,24,53,0,110,1,106,23,56,171,10,35,42,0,2,9,297,0,71,30,2,0,17,7,3,265,0,0,0,23,11,2,5,0,0,9,0,0,26,109,8,98,27,85,43,2,7,1,22,0,21,14,0,1,0,20,8,3,2,0,2,0,13,1,0,52,0,0,1
1,1,0,3,1,1,0,0,0,156,8,0,1,0,4,11,0,22,1,47,0,11,9,89,0,33,22,3,11,288,8,9,0,22,44,0,108,4,159,44,48,186,8,101,68,0,9,9,52,0,85,79,7,0,17,6,7,434,0,0,0,3,2,1,1,0,0,64,0,0,21,119,0,63,16,62,49,5,18,0,3,0,5,45,0,2,0,2,2,6,2,3,4,0,13,3,0,22,0,0,1
0,0,0,2,0,0,0,1,0,5,0,0,0,0,3,5,0,15,1,12,0,5,0,17,0,20,15,6,2,78,0,0,0,15,21,0,97,1,53,1,31,125,8,29,17,0,0,6,31,0,28,22,0,0,2,6,1,77,0,0,0,3,2,2,2,0,0,7,0,0,12,58,0,33,11,32,20,0,5,0,7,0,8,1,0,0,0,2,4,2,2,0,2,0,3,1,0,16,0,0,1
1,1,0,5,1,1,2,1,9,103,8,10,1,1,9,17,0,55,28,104,0,17,16,146,0,72,55,15,30,740,4,2,4,55,90,0,157,2,314,44,298,410,86,944,354,0,8,13,817,0,742,936,19,0,67,8,25,10904,0,1,0,17,5,3,9,0,4,1816,12,6,60,307,0,197,316,193,132,3,40,0,12,35,10,257,3,2,12,9,8,9,2,8,11,0,32,10,0,70,10,12,1
1,0,0,12,1,1,0,1,5,170,16,7,1,0,4,19,0,34,6,68,0,19,19,125,0,55,34,5,18,195,7,7,0,36,53,0,124,3,239,43,67,274,8,66,74,0,7,9,95,0,98,54,6,0,45,7,4,415,0,1,0,24,10,6,6,0,1,39,0,0,37,213,4,204,43,93,63,8,30,1,16,0,14,25,0,1,0,18,6,4,2,2,11,0,23,2,0,24,0,0,1
1,1,0,7,1,1,0,1,4,31,7,4,1,0,2,7,0,18,4,29,0,7,9,44,0,25,18,3,9,1341,1,1,0,18,53,0,104,1,108,10,38,186,8,53,50,0,1,10,69,0,112,54,11,0,28,7,3,2620,0,0,0,16,7,1,4,0,1,34,0,0,18,273,8,60,19,48,37,1,9,1,11,0,11,22,0,1,0,12,2,2,2,1,2,0,12,1,0,15,0,0,1
1,0,0,3,1,1,1,2,3,112,0,3,1,0,6,4,1,17,3,11,0,4,2,40,0,21,17,0,2,215,0,0,0,17,56,0,101,2,114,18,32,183,8,70,58,0,0,12,59,0,106,61,9,0,20,6,4,370,0,0,0,3,3,1,1,0,2,50,0,0,14,109,0,65,10,59,27,2,21,0,10,0,10,46,0,2,0,4,8,2,2,1,2,0,7,1,0,25,0,0,1
1,1,0,13,1,1,0,2,14,572,1,16,1,0,4,94,1,116,13,396,0,94,47,640,0,210,116,7,52,1428,0,0,0,116,252,0,211,1,743,308,137,631,8,374,187,3,0,10,230,0,692,367,43,0,171,6,15,69955,0,0,0,15,5,1,3,0,8,477,0,0,113,591,0,199,26,190,290,21,80,1,11,0,9,350,12,10,0,8,22,17,2,1,2,0,182,1,0,20,0,0,1
1,0,0,1,1,0,0,0,0,125,0,0,0,0,0,1,0,9,1,3,0,1,0,55,0,10,9,0,2,61,0,0,0,9,22,0,93,0,85,49,24,166,8,31,36,0,0,6,19,0,43,14,0,0,8,6,1,164,0,0,0,0,1,1,0,0,0,9,0,0,6,42,0,18,5,22,27,0,3,1,1,0,3,0,2,0,0,0,2,1,2,1,2,0,3,1,0,8,0,0,1
1,0,0,8,1,1,0,1,5,95,5,5,1,0,2,6,0,33,4,43,0,6,8,49,0,39,33,3,7,172,0,0,0,33,43,0,119,1,156,20,192,245,32,62,103,0,2,9,79,0,130,62,6,0,28,7,13,542,0,0,0,18,8,3,5,0,1,76,8,2,38,145,8,60,87,63,42,2,19,1,13,5,11,16,1,1,0,14,2,4,2,5,8,0,17,7,0,18,8,10,1
